ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
HMDB:HMDB0059596,,HMDB:HMDB0059596,MergedSpectra,0,,100.0135993,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0032523,,HMDB:HMDB0032523,MergedSpectra,0,,100.016044,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0033564,,HMDB:HMDB0033564,MergedSpectra,0,,100.0346709,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000509,,HMDB:HMDB0000509,MergedSpectra,0,,100.0524295,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031642,,HMDB:HMDB0031642,MergedSpectra,0,,100.0636629,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000753,,HMDB:HMDB0000753,MergedSpectra,0,,100.088815,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0062716,,HMDB:HMDB0062716,MergedSpectra,0,,100.1126245,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031447,,HMDB:HMDB0031447,MergedSpectra,0,,100.1252005,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0029555,,HMDB:HMDB0029555,MergedSpectra,0,,101.0299199,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0029387,,HMDB:HMDB0029387,MergedSpectra,0,,101.0476785,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0012815,,HMDB:HMDB0012815,MergedSpectra,0,,101.084064,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0032323,,HMDB:HMDB0032323,MergedSpectra,0,,101.1204495,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0013668,,HMDB:HMDB0013668,MergedSpectra,0,,101.9043495,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031242,,HMDB:HMDB0031242,MergedSpectra,0,,102.0139355,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000005,,HMDB:HMDB0000005,MergedSpectra,0,,102.0316941,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0014405,,HMDB:HMDB0014405,MergedSpectra,0,,102.0429274,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031529,,HMDB:HMDB0031529,MergedSpectra,0,,102.050321,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000718,,HMDB:HMDB0000718,MergedSpectra,0,,102.0680796,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0001252,,HMDB:HMDB0001252,MergedSpectra,0,,102.091889,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0012971,,HMDB:HMDB0012971,MergedSpectra,0,,102.1044651,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0002322,,HMDB:HMDB0002322,MergedSpectra,0,,102.1156985,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0006509,,HMDB:HMDB0006509,MergedSpectra,0,,102.1282745,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
